trial,family,mean_mae,worst_mae,mean_mse,mae_A,mae_B,mae_C,mse_A,mse_B,mse_C,best_epoch_A,best_epoch_B,best_epoch_C,window,hidden_dim,num_layers,dropout,kernel_size,scaler,lr,batch_size,weight_decay,lr_scheduler,k_max,p_max,input_noise_sigma
11,tcn,37.68522784703722,57.60027637317776,2828.820912867521,31.15196650188416,24.30344066604972,57.60027637317776,2096.18709112742,894.5401569285222,5495.735490546621,85,80,155,40,128,3,0.2608949048360576,3,minmax_0_1,0.0005508406278972763,16,2.6891997431488254e-06,onecycle,5,0.0,0.01
13,tcn,31.800531913861633,35.94853505969048,1753.7888036704544,33.97489716984332,25.478163512051104,35.94853505969048,2299.4503248219225,945.5655414307959,2016.350544758645,65,45,85,30,64,1,0.13065321829633691,3,minmax_0_1,0.0005439536618829891,16,1.4711223530961305e-06,onecycle,3,0.0,0.0
14,tcn,22.038321192624668,25.242758662030102,976.2073595322954,20.97304956909269,19.899155346751215,25.242758662030102,1090.7461697549859,769.9498903591151,1067.9260184827856,110,20,5,60,128,2,0.3883625216172613,3,minmax_0_1,0.0011468050469349007,16,1.6834592221905384e-05,onecycle,10,0.0,0.01
15,tcn,25.10581034695109,30.19348228186369,1070.9809892868727,30.19348228186369,25.537620259672405,19.58632849931717,1574.2978454107197,933.455017465676,705.1901049842229,45,30,10,60,128,2,0.34917536696280865,3,minmax_0_1,0.0011405596452390228,64,1.5026188072320248e-05,plateau,3,0.0,0.01
16,tcn,34.98842874101053,45.101678973138334,2027.6435019975913,33.27107493344695,26.592532316446306,45.101678973138334,1907.9044197570297,954.6070051541872,3220.4190810815576,180,95,175,60,64,2,0.3250654559377456,3,minmax_neg1_1,0.0011954226816753794,16,1.5429382267375595e-05,onecycle,10,0.25,0.01
17,tcn,25.22663429709772,30.886143763810395,1270.0470279308895,30.886143763810395,24.006587347835303,20.78717177964747,2032.4590711282608,949.6598820044914,828.0221306599165,130,65,15,30,128,2,0.3852070483359697,3,minmax_0_1,0.0006716219168530466,64,4.53913354559482e-06,onecycle,5,0.0,0.02
18,tcn,32.651174048470956,46.35199677038938,1909.6820826344199,27.027627182081343,24.573898192942142,46.35199677038938,1434.4153221589315,920.1007227080888,3374.530203036239,20,55,170,60,256,2,0.3605002600343857,3,minmax_0_1,0.002065269012909713,16,3.83708156461388e-05,onecycle,10,0.0,0.005
19,tcn,28.592692840080712,36.445748227089645,1723.860067812022,31.278218800816685,18.054111492335796,36.445748227089645,2236.2966858893224,678.6120565614127,2256.671460985331,70,25,175,30,128,2,0.2712069887108137,3,minmax_neg1_1,0.0005600520785144652,16,7.605359785748497e-05,onecycle,5,0.0,0.01
20,tcn,30.70421964269131,49.10223826229572,1818.3905723594125,49.10223826229572,25.186945827007293,17.823474838770927,3789.958454196416,1039.0577845876346,626.155478294188,65,15,5,25,32,2,0.38230742674927365,5,minmax_0_1,0.0006941129204653062,16,3.967209055528792e-06,onecycle,5,0.0,0.01
21,tcn,25.886431557660302,30.375759156197308,1261.8593914324763,30.375759156197308,25.001652505397796,22.281883011385798,1967.292430636705,909.9322945588476,908.3534491018764,95,35,5,60,128,2,0.33126574295566796,3,minmax_0_1,0.0007576348869256122,16,4.588048228172659e-06,plateau,10,0.0,0.01
