12:12:21 [INFO] device=cuda  family=lstm  variant=all_tricks  seeds=[0, 1, 2]  epochs=200  anneal=150  out=C:\Users\renat\OneDrive\Desktop\faks\Utrecht\Deep Learning\DeepLearningAssignment1\experiments\baselines\milestone5_lstm_all_tricks
12:13:12 [INFO] epoch   25  train_loss=0.01962  val_mae= 19.039  val_mse=  521.54  best_mae= 19.039@e25  bad=0/30
12:13:13 [INFO] epoch   30  train_loss=0.01076  val_mae= 32.781  val_mse= 1602.32  best_mae= 19.039@e25  bad=1/30
12:13:13 [INFO] epoch   35  train_loss=0.00742  val_mae= 37.139  val_mse= 2103.62  best_mae= 19.039@e25  bad=2/30
12:13:14 [INFO] epoch   40  train_loss=0.00531  val_mae= 44.992  val_mse= 3132.56  best_mae= 19.039@e25  bad=3/30
12:13:14 [INFO] epoch   45  train_loss=0.00467  val_mae= 29.232  val_mse= 1513.86  best_mae= 19.039@e25  bad=4/30
12:13:14 [INFO] epoch   50  train_loss=0.00359  val_mae= 15.811  val_mse=  460.21  best_mae= 15.811@e50  bad=0/30
12:13:15 [INFO] epoch   55  train_loss=0.00375  val_mae= 40.496  val_mse= 2919.87  best_mae= 15.811@e50  bad=1/30
12:13:15 [INFO] epoch   60  train_loss=0.00269  val_mae= 21.750  val_mse= 1082.63  best_mae= 15.811@e50  bad=2/30
12:13:16 [INFO] epoch   65  train_loss=0.00286  val_mae=  8.138  val_mse=   96.34  best_mae=  8.138@e65  bad=0/30
12:13:16 [INFO] epoch   70  train_loss=0.00201  val_mae= 18.715  val_mse=  630.07  best_mae=  8.138@e65  bad=1/30
12:13:17 [INFO] epoch   75  train_loss=0.00195  val_mae=  5.887  val_mse=   74.37  best_mae=  5.887@e75  bad=0/30
12:13:17 [INFO] epoch   80  train_loss=0.00172  val_mae= 14.524  val_mse=  350.17  best_mae=  5.887@e75  bad=1/30
12:13:18 [INFO] epoch   85  train_loss=0.00169  val_mae= 35.478  val_mse= 2538.83  best_mae=  5.887@e75  bad=2/30
12:13:18 [INFO] epoch   90  train_loss=0.00135  val_mae= 20.999  val_mse=  811.83  best_mae=  5.887@e75  bad=3/30
12:13:19 [INFO] epoch   95  train_loss=0.00162  val_mae= 14.469  val_mse=  531.06  best_mae=  5.887@e75  bad=4/30
12:13:19 [INFO] epoch  100  train_loss=0.00169  val_mae= 11.198  val_mse=  228.28  best_mae=  5.887@e75  bad=5/30
12:13:20 [INFO] epoch  105  train_loss=0.00125  val_mae= 32.782  val_mse= 2423.84  best_mae=  5.887@e75  bad=6/30
12:13:21 [INFO] epoch  110  train_loss=0.00177  val_mae=  5.491  val_mse=   59.28  best_mae=  5.491@e110  bad=0/30
12:13:21 [INFO] epoch  115  train_loss=0.00089  val_mae=  8.088  val_mse=  120.97  best_mae=  5.491@e110  bad=1/30
12:13:22 [INFO] epoch  120  train_loss=0.00158  val_mae= 11.356  val_mse=  232.29  best_mae=  5.491@e110  bad=2/30
12:13:23 [INFO] epoch  125  train_loss=0.00091  val_mae=  8.484  val_mse=  155.18  best_mae=  5.491@e110  bad=3/30
12:13:23 [INFO] epoch  130  train_loss=0.00082  val_mae=  8.484  val_mse=  131.17  best_mae=  5.491@e110  bad=4/30
12:13:24 [INFO] epoch  135  train_loss=0.00081  val_mae= 10.211  val_mse=  187.03  best_mae=  5.491@e110  bad=5/30
12:13:25 [INFO] epoch  140  train_loss=0.00072  val_mae=  7.078  val_mse=   92.39  best_mae=  5.491@e110  bad=6/30
12:13:26 [INFO] epoch  145  train_loss=0.00096  val_mae=  6.329  val_mse=   77.75  best_mae=  5.491@e110  bad=7/30
12:13:26 [INFO] epoch  150  train_loss=0.00082  val_mae=  2.016  val_mse=    6.41  best_mae=  2.016@e150  bad=0/30
12:13:27 [INFO] epoch  155  train_loss=0.00246  val_mae= 37.877  val_mse= 2637.58  best_mae=  2.016@e150  bad=1/30
12:13:28 [INFO] epoch  160  train_loss=0.00070  val_mae= 10.686  val_mse=  196.41  best_mae=  2.016@e150  bad=2/30
12:13:29 [INFO] epoch  165  train_loss=0.00075  val_mae=  3.467  val_mse=   17.42  best_mae=  2.016@e150  bad=3/30
12:13:29 [INFO] epoch  170  train_loss=0.00064  val_mae=  2.304  val_mse=    7.91  best_mae=  2.016@e150  bad=4/30
12:13:30 [INFO] epoch  175  train_loss=0.00127  val_mae=  1.754  val_mse=    3.77  best_mae=  1.754@e175  bad=0/30
12:13:31 [INFO] epoch  180  train_loss=0.00066  val_mae=  2.944  val_mse=   12.19  best_mae=  1.754@e175  bad=1/30
12:13:32 [INFO] epoch  185  train_loss=0.00057  val_mae=  2.555  val_mse=    8.59  best_mae=  1.754@e175  bad=2/30
12:13:33 [INFO] epoch  190  train_loss=0.00058  val_mae=  2.933  val_mse=   12.39  best_mae=  1.754@e175  bad=3/30
12:13:33 [INFO] epoch  195  train_loss=0.00052  val_mae=  2.626  val_mse=    9.18  best_mae=  1.754@e175  bad=4/30
12:13:34 [INFO] epoch  200  train_loss=0.00073  val_mae=  2.652  val_mse=    9.41  best_mae=  1.754@e175  bad=5/30
12:13:34 [INFO]   test MAE=5.095  MSE=100.55  NMSE=0.0506  best@e175
12:13:34 [INFO] 
--- holdout B  seed 0 ---
12:13:35 [INFO] epoch    5  train_loss=0.11843  val_mae= 50.949  val_mse= 3427.32  best_mae= 50.949@e5  bad=0/30
12:13:35 [INFO] epoch   10  train_loss=0.05170  val_mae= 21.516  val_mse= 1067.81  best_mae= 21.516@e10  bad=0/30
12:13:35 [INFO] epoch   15  train_loss=0.05183  val_mae= 17.207  val_mse=  855.98  best_mae= 17.207@e15  bad=0/30
12:13:35 [INFO] epoch   20  train_loss=0.05081  val_mae= 17.693  val_mse=  877.85  best_mae= 17.207@e15  bad=1/30
12:13:36 [INFO] epoch   25  train_loss=0.04872  val_mae= 18.561  val_mse=  915.76  best_mae= 17.207@e15  bad=2/30
12:13:36 [INFO] epoch   30  train_loss=0.02585  val_mae= 40.463  val_mse= 2338.78  best_mae= 17.207@e15  bad=3/30
12:13:37 [INFO] epoch   35  train_loss=0.01253  val_mae= 48.609  val_mse= 3272.52  best_mae= 17.207@e15  bad=4/30
12:13:37 [INFO] epoch   40  train_loss=0.00912  val_mae= 52.684  val_mse= 3796.67  best_mae= 17.207@e15  bad=5/30
12:13:37 [INFO] epoch   45  train_loss=0.00529  val_mae= 43.119  val_mse= 2780.35  best_mae= 17.207@e15  bad=6/30
12:13:38 [INFO] epoch   50  train_loss=0.00428  val_mae= 42.411  val_mse= 2651.60  best_mae= 17.207@e15  bad=7/30
12:13:38 [INFO] epoch   55  train_loss=0.00468  val_mae= 28.479  val_mse= 1552.29  best_mae= 17.207@e15  bad=8/30
12:13:38 [INFO] epoch   60  train_loss=0.00366  val_mae= 47.917  val_mse= 3615.61  best_mae= 17.207@e15  bad=9/30
12:13:39 [INFO] epoch   65  train_loss=0.00326  val_mae= 49.926  val_mse= 3947.63  best_mae= 17.207@e15  bad=10/30
12:13:39 [INFO] epoch   70  train_loss=0.00362  val_mae= 44.010  val_mse= 2976.10  best_mae= 17.207@e15  bad=11/30
